iter	Logloss
0	0.6861402119
1	0.6788682718
2	0.6711941701
3	0.6648906513
4	0.657354796
5	0.6506701384
6	0.6444416692
7	0.6382212567
8	0.6341613704
9	0.6280424695
10	0.6223488107
11	0.615939918
12	0.6090469768
13	0.6026076484
14	0.5970448203
15	0.5919412545
16	0.5872682596
17	0.582073722
18	0.5767426559
19	0.5716031189
20	0.567204463
21	0.5628725641
22	0.5574147786
23	0.5529351388
24	0.5485528527
25	0.5437116572
26	0.5385154398
27	0.534090925
28	0.5294754632
29	0.5259337068
30	0.5216641479
31	0.5175157823
32	0.5134466249
33	0.5092675018
34	0.5049018351
35	0.5029953106
36	0.4989822854
37	0.4960571899
38	0.4918059688
39	0.4881728547
40	0.4843464398
41	0.4808352663
42	0.477053247
43	0.4737718433
44	0.4702517748
45	0.4667088812
46	0.4628441886
47	0.4597049592
48	0.4576338995
49	0.4542435285
50	0.4508674956
51	0.4473584158
52	0.4443973675
53	0.4422101467
54	0.4394166072
55	0.4372670495
56	0.4338844955
57	0.43115994
58	0.4287541285
59	0.4261463455
60	0.4233419306
61	0.4207495257
62	0.4181694859
63	0.4154711195
64	0.4128208122
65	0.4101608648
66	0.4071686033
67	0.404970641
68	0.4028111481
69	0.4006930616
70	0.3985791787
71	0.3967466629
72	0.3944063409
73	0.3919677315
74	0.3898352654
75	0.3876121216
76	0.3861317594
77	0.3841187302
78	0.3819436291
79	0.3812477974
80	0.3796926556
81	0.3774032562
82	0.3755295551
83	0.3733399
84	0.3711459165
85	0.3694949375
86	0.3676664657
87	0.3654070988
88	0.3633073102
89	0.3621709816
90	0.3601502037
91	0.3582951251
92	0.3576444081
93	0.3563832407
94	0.3553459337
95	0.3538338976
96	0.3526583883
97	0.3509997254
98	0.3493250143
99	0.3483258506
100	0.3466054214
101	0.3460228389
102	0.3443937683
103	0.3429232714
104	0.3415298919
105	0.3402169193
106	0.3387904964
107	0.3376159135
108	0.3365160328
109	0.3351610934
110	0.3338075341
111	0.3321789464
112	0.3306538403
113	0.3298437596
114	0.3285881928
115	0.3275516413
116	0.3262408146
117	0.3247601239
118	0.3235941978
119	0.3224753509
120	0.3211879611
121	0.3198374535
122	0.3184936014
123	0.3173520297
124	0.3170744167
125	0.3161604634
126	0.3152366495
127	0.3140462843
128	0.3129022459
129	0.3114369514
130	0.3106246745
131	0.3095584488
132	0.3087264853
133	0.3075581037
134	0.3066074384
135	0.3053423091
